,Country,Happiness Score,Year
934,Finland,7.842,2021
935,Denmark,7.62,2021
936,Switzerland,7.571,2021
937,Iceland,7.554,2021
938,Netherlands,7.464,2021
939,Norway,7.392,2021
940,Sweden,7.363,2021
941,Luxembourg,7.324,2021
942,New Zealand,7.277,2021
943,Austria,7.268,2021
944,Australia,7.183,2021
945,Israel,7.157,2021
946,Germany,7.155,2021
947,Canada,7.103,2021
948,Ireland,7.085,2021
949,Costa Rica,7.069,2021
950,United Kingdom,7.064,2021
951,Czech Republic,6.965,2021
952,United States,6.951,2021
953,Belgium,6.834,2021
954,France,6.69,2021
955,Bahrain,6.647,2021
956,Malta,6.602,2021
957,Taiwan Province of China,6.584,2021
958,United Arab Emirates,6.561,2021
959,Saudi Arabia,6.494,2021
960,Spain,6.491,2021
961,Italy,6.483,2021
962,Slovenia,6.461,2021
963,Guatemala,6.435,2021
964,Uruguay,6.431,2021
965,Singapore,6.377,2021
966,Kosovo,6.372,2021
967,Slovakia,6.331,2021
968,Brazil,6.33,2021
969,Mexico,6.317,2021
970,Jamaica,6.309,2021
971,Lithuania,6.255,2021
972,Cyprus,6.223,2021
973,Estonia,6.189,2021
974,Panama,6.18,2021
975,Uzbekistan,6.179,2021
976,Chile,6.172,2021
977,Poland,6.166,2021
978,Kazakhstan,6.152,2021
979,Romania,6.14,2021
980,Kuwait,6.106,2021
981,Serbia,6.078,2021
982,El Salvador,6.061,2021
983,Mauritius,6.049,2021
984,Latvia,6.032,2021
985,Colombia,6.012,2021
986,Hungary,5.992,2021
987,Thailand,5.985,2021
988,Nicaragua,5.972,2021
989,Japan,5.94,2021
990,Argentina,5.929,2021
991,Portugal,5.929,2021
992,Honduras,5.919,2021
993,Croatia,5.882,2021
994,Philippines,5.88,2021
995,South Korea,5.845,2021
996,Peru,5.84,2021
997,Bosnia and Herzegovina,5.813,2021
998,Moldova,5.766,2021
999,Ecuador,5.764,2021
1000,Kyrgyzstan,5.744,2021
1001,Greece,5.723,2021
1002,Bolivia,5.716,2021
1003,Mongolia,5.677,2021
1004,Paraguay,5.653,2021
1005,Montenegro,5.581,2021
1006,Dominican Republic,5.545,2021
1007,North Cyprus,5.536,2021
1008,Belarus,5.534,2021
1009,Russia,5.477,2021
1010,Hong Kong S.A.R. of China,5.477,2021
1011,Tajikistan,5.466,2021
1012,Vietnam,5.411,2021
1013,Libya,5.41,2021
1014,Malaysia,5.384,2021
1015,Indonesia,5.345,2021
1016,Congo (Brazzaville),5.342,2021
1017,China,5.339,2021
1018,Ivory Coast,5.306,2021
1019,Armenia,5.283,2021
1020,Nepal,5.269,2021
1021,Bulgaria,5.266,2021
1022,Maldives,5.198,2021
1023,Azerbaijan,5.171,2021
1024,Cameroon,5.142,2021
1025,Senegal,5.132,2021
1026,Albania,5.117,2021
1027,North Macedonia,5.101,2021
1028,Ghana,5.088,2021
1029,Niger,5.074,2021
1030,Turkmenistan,5.066,2021
1031,Gambia,5.051,2021
1032,Benin,5.045,2021
1033,Laos,5.03,2021
1034,Bangladesh,5.025,2021
1035,Guinea,4.984,2021
1036,South Africa,4.956,2021
1037,Turkey,4.948,2021
1038,Pakistan,4.934,2021
1039,Morocco,4.918,2021
1040,Venezuela,4.892,2021
1041,Georgia,4.891,2021
1042,Algeria,4.887,2021
1043,Ukraine,4.875,2021
1044,Iraq,4.854,2021
1045,Gabon,4.852,2021
1046,Burkina Faso,4.834,2021
1047,Cambodia,4.83,2021
1048,Mozambique,4.794,2021
1049,Nigeria,4.759,2021
1050,Mali,4.723,2021
1051,Iran,4.721,2021
1052,Uganda,4.636,2021
1053,Liberia,4.625,2021
1054,Kenya,4.607,2021
1055,Tunisia,4.596,2021
1056,Lebanon,4.584,2021
1057,Namibia,4.574,2021
1058,Palestinian Territories,4.517,2021
1059,Myanmar,4.426,2021
1060,Jordan,4.395,2021
1061,Chad,4.355,2021
1062,Sri Lanka,4.325,2021
1063,Swaziland,4.308,2021
1064,Comoros,4.289,2021
1065,Egypt,4.283,2021
1066,Ethiopia,4.275,2021
1067,Mauritania,4.227,2021
1068,Madagascar,4.208,2021
1069,Togo,4.107,2021
1070,Zambia,4.073,2021
1071,Sierra Leone,3.849,2021
1072,India,3.819,2021
1073,Burundi,3.775,2021
1074,Yemen,3.658,2021
1075,Tanzania,3.623,2021
1076,Haiti,3.615,2021
1077,Malawi,3.6,2021
1078,Lesotho,3.512,2021
1079,Botswana,3.467,2021
1080,Rwanda,3.415,2021
1081,Zimbabwe,3.145,2021
1082,Afghanistan,2.523,2021
