,iso_code,country,2021_population,2020_population,area_km_sq,density_km_sq,growth_rate_%,world_%,rank,Latitude,Longitude
0,CHN,China,1447065329,1439323776,9706961,149,0.34,18.34,1,35.000074,104.999927
1,IND,India,1401310563,1380004385,3287590,424,0.97,17.69,2,22.3511148,78.6677428
2,USA,United States,334058426,331002651,9372610,36,0.58,4.23,3,39.7837304,-100.445882
3,IDN,Indonesia,278037263,273523615,1904569,145,1.04,3.51,4,-2.4833826,117.8902853
4,PAK,Pakistan,227724796,220892340,881912,255,1.95,2.86,5,30.3308401,71.247499
5,BRA,Brazil,214832901,212559417,8515767,25,0.67,2.72,6,-10.3333333,-53.2
6,NGA,Nigeria,214507696,206139589,923768,229,2.55,2.68,7,9.6000359,7.9999721
7,BGD,Bangladesh,167247491,164689383,147570,1,0.98,2.11,8,24.4769288,90.2934413
8,RUS,Russia,145899956,145934462,17098242,9,-0.02,1.85,9,64.6863136,97.7453061
9,MEX,Mexico,131046075,128932753,1964375,66,1.03,1.65,10,23.6585116,-102.0077097
10,JPN,Japan,125802521,126476461,377930,334,-0.34,1.6,11,36.5748441,139.2394179
11,ETH,Ethiopia,119590501,114963588,1104300,107,2.53,1.5,12,10.2116702,38.6521203
12,PHL,Philippines,111913102,109581078,342353,324,1.34,1.41,13,12.7503486,122.7312101
13,EGY,Egypt,105390688,102334404,1002450,104,1.88,1.32,14,26.2540493,29.2675469
14,VNM,Vietnam,98655916,97338579,331212,296,0.85,1.25,15,15.9266657,107.9650855
15,TUR,Turkey,85484777,84339067,783562,109,0.83,1.08,17,38.9597594,34.9249653
16,IRN,Iran,85627052,83992949,1648195,52,1.23,1.08,18,32.6475314,54.5643516
17,DEU,Germany,83975691,83783942,357114,235,0.14,1.07,19,51.1638175,10.4478313
18,THA,Thailand,70039646,69799978,513120,136,0.22,0.89,20,14.8971921,100.83273
19,GBR,United Kingdom,68401087,67886011,242900,281,0.47,0.87,21,54.7023545,-3.2765753
20,FRA,France,65520147,65273511,551695,119,0.23,0.83,22,46.603354,1.8883335
21,TZA,Tanzania,62539416,59734218,945087,65,2.95,0.78,23,-6.5247123,35.7878438
22,ITA,Italy,60320493,60461826,301336,200,-0.16,0.77,24,42.6384261,12.674297
23,ZAF,South Africa,60474550,59308690,1221037,49,1.24,0.76,25,-28.8166236,24.991639
